# solver	iter	time	stddev
akecmp	0	0.011299	0.000000
akecmp	1	0.010856	0.000000
akmcf	0	0.009977	0.000000
akmcf	1	0.010422	0.000000
akraeke	0	0.210296	0.000000
akraeke	1	0.220140	0.000000
akvlb	0	0.048832	0.000000
akvlb	1	0.048187	0.000000
ecmp	0	0.000348	0.000000
ecmp	1	0.000356	0.000000
ksp	0	0.135988	0.000000
ksp	1	0.130732	0.000000
mcf	0	0.037458	0.000000
mcf	1	0.033197	0.000000
mwmcf	0	0.002519	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	0.606965	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.003737	0.000000
semimcfecmp	1	0.003584	0.000000
semimcfmcf	0	0.004835	0.000000
semimcfmcf	1	0.004763	0.000000
semimcfraeke	0	0.171058	0.000000
semimcfraeke	1	0.167445	0.000000
semimcfvlb	0	0.016023	0.000000
semimcfvlb	1	0.015242	0.000000
spf	0	0.000630	0.000000
spf	1	0.000640	0.000000
vlb	0	0.057636	0.000000
vlb	1	0.056850	0.000000

