# solver	iter	total-throughput	stddev
ecmp	0	4455236418.559998	0.000000
ecmp	1	4455236418.559998	0.000000
ecmp	2	4455236418.559998	0.000000
ecmp	3	4455236418.559998	0.000000
ecmp	4	4455236418.559998	0.000000
ecmp	5	4455236418.559998	0.000000
ecmp	6	4455236418.559998	0.000000
ecmp	7	4455236418.559998	0.000000
ecmp	8	4455236418.559998	0.000000
ecmp	9	4455236418.559998	0.000000
ksp	0	8283259470.924090	0.000000
ksp	1	8283259470.924090	0.000000
ksp	2	8283259470.924090	0.000000
ksp	3	8283259470.924090	0.000000
ksp	4	8283259470.924090	0.000000
ksp	5	8283259470.924090	0.000000
ksp	6	8283259470.924090	0.000000
ksp	7	8283259470.924090	0.000000
ksp	8	8283259470.924090	0.000000
ksp	9	8283259470.924090	0.000000
mcf	0	9868333333.333326	0.000000
mcf	1	9868333333.333326	0.000000
mcf	2	9868333333.333326	0.000000
mcf	3	9868333333.333326	0.000000
mcf	4	9868333333.333326	0.000000
mcf	5	9868333333.333326	0.000000
mcf	6	9868333333.333326	0.000000
mcf	7	9868333333.333326	0.000000
mcf	8	9868333333.333326	0.000000
mcf	9	9868333333.333326	0.000000
mwmcf	0	4455236418.559998	0.000000
mwmcf	1	4455236418.559998	0.000000
mwmcf	2	4455236418.559998	0.000000
mwmcf	3	4455236418.559998	0.000000
mwmcf	4	4455236418.559998	0.000000
mwmcf	5	4455236418.559998	0.000000
mwmcf	6	4455236418.559998	0.000000
mwmcf	7	4455236418.559998	0.000000
mwmcf	8	4455236418.559998	0.000000
mwmcf	9	4455236418.559998	0.000000
raeke	0	9780649166.666569	0.000000
raeke	1	9780649166.666569	0.000000
raeke	2	9780649166.666569	0.000000
raeke	3	9780649166.666569	0.000000
raeke	4	9780649166.666569	0.000000
raeke	5	9780649166.666569	0.000000
raeke	6	9780649166.666569	0.000000
raeke	7	9780649166.666569	0.000000
raeke	8	9780649166.666569	0.000000
raeke	9	9780649166.666569	0.000000
semimcfecmp	0	4455236418.559998	0.000000
semimcfecmp	1	4455236418.559998	0.000000
semimcfecmp	2	4455236418.559998	0.000000
semimcfecmp	3	4455236418.559998	0.000000
semimcfecmp	4	4455236418.559998	0.000000
semimcfecmp	5	4455236418.559998	0.000000
semimcfecmp	6	4455236418.559998	0.000000
semimcfecmp	7	4455236418.559998	0.000000
semimcfecmp	8	4455236418.559998	0.000000
semimcfecmp	9	4455236418.559998	0.000000
semimcfksp	0	9940000000.000000	0.000000
semimcfksp	1	9940000000.000000	0.000000
semimcfksp	2	9940000000.000000	0.000000
semimcfksp	3	9940000000.000000	0.000000
semimcfksp	4	9940000000.000000	0.000000
semimcfksp	5	9940000000.000000	0.000000
semimcfksp	6	9940000000.000000	0.000000
semimcfksp	7	9940000000.000000	0.000000
semimcfksp	8	9940000000.000000	0.000000
semimcfksp	9	9940000000.000000	0.000000
semimcfmcf	0	9868333333.333328	0.000000
semimcfmcf	1	9868333333.333328	0.000000
semimcfmcf	2	9868333333.333328	0.000000
semimcfmcf	3	9868333333.333328	0.000000
semimcfmcf	4	9868333333.333328	0.000000
semimcfmcf	5	9868333333.333328	0.000000
semimcfmcf	6	9868333333.333328	0.000000
semimcfmcf	7	9868333333.333328	0.000000
semimcfmcf	8	9868333333.333328	0.000000
semimcfmcf	9	9868333333.333328	0.000000
semimcfraeke	0	9850000000.000000	0.000000
semimcfraeke	1	9850000000.000000	0.000000
semimcfraeke	2	9850000000.000000	0.000000
semimcfraeke	3	9850000000.000000	0.000000
semimcfraeke	4	9850000000.000000	0.000000
semimcfraeke	5	9850000000.000000	0.000000
semimcfraeke	6	9850000000.000000	0.000000
semimcfraeke	7	9850000000.000000	0.000000
semimcfraeke	8	9850000000.000000	0.000000
semimcfraeke	9	9850000000.000000	0.000000
semimcfvlb	0	9853333333.333332	0.000000
semimcfvlb	1	9853333333.333332	0.000000
semimcfvlb	2	9853333333.333332	0.000000
semimcfvlb	3	9853333333.333332	0.000000
semimcfvlb	4	9853333333.333332	0.000000
semimcfvlb	5	9853333333.333332	0.000000
semimcfvlb	6	9853333333.333332	0.000000
semimcfvlb	7	9853333333.333332	0.000000
semimcfvlb	8	9853333333.333332	0.000000
semimcfvlb	9	9853333333.333332	0.000000
spf	0	4455236418.559998	0.000000
spf	1	4455236418.559998	0.000000
spf	2	4455236418.559998	0.000000
spf	3	4455236418.559998	0.000000
spf	4	4455236418.559998	0.000000
spf	5	4455236418.559998	0.000000
spf	6	4455236418.559998	0.000000
spf	7	4455236418.559998	0.000000
spf	8	4455236418.559998	0.000000
spf	9	4455236418.559998	0.000000
vlb	0	7494766374.527999	0.000000
vlb	1	7545096544.426670	0.000000
vlb	2	7751714347.690665	0.000000
vlb	3	7324222895.786668	0.000000
vlb	4	6721996854.328887	0.000000
vlb	5	7118588833.279994	0.000000
vlb	6	7692130749.866666	0.000000
vlb	7	7834410710.784000	0.000000
vlb	8	7651761822.720001	0.000000
vlb	9	7473694472.362667	0.000000

