# solver	iter	congestion-drop	stddev
ecmp	0	0.372222	0.000000
ecmp	1	0.372222	0.000000
ecmp	2	0.144500	0.000000
ecmp	3	0.186222	0.000000
ecmp	4	0.144500	0.000000
ecmp	5	0.186222	0.000000
ecmp	6	0.144500	0.000000
ecmp	7	0.144500	0.000000
ecmp	8	0.144500	0.000000
ecmp	9	0.144500	0.000000
ksp	0	0.033333	0.000000
ksp	1	0.033333	0.000000
ksp	2	0.079875	0.000000
ksp	3	0.045750	0.000000
ksp	4	0.049833	0.000000
ksp	5	0.045750	0.000000
ksp	6	0.101649	0.000000
ksp	7	0.066682	0.000000
ksp	8	0.045750	0.000000
ksp	9	0.079875	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	0.000000	0.000000
mcf	4	0.000083	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
mwmcf	0	0.372222	0.000000
mwmcf	1	0.372222	0.000000
mwmcf	2	0.159500	0.000000
mwmcf	3	0.205083	0.000000
mwmcf	4	0.159500	0.000000
mwmcf	5	0.159500	0.000000
mwmcf	6	0.159500	0.000000
mwmcf	7	0.205083	0.000000
mwmcf	8	0.159500	0.000000
mwmcf	9	0.159500	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.009600	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.001592	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.014613	0.000000
semimcfecmp	0	0.372222	0.000000
semimcfecmp	1	0.372222	0.000000
semimcfecmp	2	0.163056	0.000000
semimcfecmp	3	0.163056	0.000000
semimcfecmp	4	0.163056	0.000000
semimcfecmp	5	0.163056	0.000000
semimcfecmp	6	0.076250	0.000000
semimcfecmp	7	0.163056	0.000000
semimcfecmp	8	0.076250	0.000000
semimcfecmp	9	0.076250	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.113264	0.000000
semimcfksp	3	0.007917	0.000000
semimcfksp	4	0.000111	0.000000
semimcfksp	5	0.007153	0.000000
semimcfksp	6	0.000500	0.000000
semimcfksp	7	0.003028	0.000000
semimcfksp	8	0.002944	0.000000
semimcfksp	9	0.008667	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000083	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.000000	0.000000
semimcfraeke	3	0.000000	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000095	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000000	0.000000
semimcfraeke	9	0.000000	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.000000	0.000000
semimcfvlb	3	0.000000	0.000000
semimcfvlb	4	0.000000	0.000000
semimcfvlb	5	0.000000	0.000000
semimcfvlb	6	0.000000	0.000000
semimcfvlb	7	0.000667	0.000000
semimcfvlb	8	0.000767	0.000000
semimcfvlb	9	0.000000	0.000000
spf	0	0.372222	0.000000
spf	1	0.372222	0.000000
spf	2	0.163056	0.000000
spf	3	0.163056	0.000000
spf	4	0.198250	0.000000
spf	5	0.163056	0.000000
spf	6	0.163056	0.000000
spf	7	0.198250	0.000000
spf	8	0.198250	0.000000
spf	9	0.198250	0.000000
vlb	0	0.181813	0.000000
vlb	1	0.160623	0.000000
vlb	2	0.183619	0.000000
vlb	3	0.068651	0.000000
vlb	4	0.077383	0.000000
vlb	5	0.165119	0.000000
vlb	6	0.056671	0.000000
vlb	7	0.056731	0.000000
vlb	8	0.045731	0.000000
vlb	9	0.195350	0.000000

