# solver	iter	.0.800000-congestion	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.000000	0.000000
ksp	3	0.000000	0.000000
ksp	4	0.000000	0.000000
ksp	5	0.000000	0.000000
ksp	6	0.000000	0.000000
ksp	7	0.000000	0.000000
ksp	8	0.000000	0.000000
ksp	9	0.000000	0.000000
mcf	0	0.200000	0.000000
mcf	1	0.200000	0.000000
mcf	2	0.191000	0.000000
mcf	3	0.199000	0.000000
mcf	4	0.108000	0.000000
mcf	5	0.182000	0.000000
mcf	6	0.202000	0.000000
mcf	7	0.154000	0.000000
mcf	8	0.148500	0.000000
mcf	9	0.107000	0.000000
mwmcf	0	0.000000	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	0.000000	0.000000
mwmcf	3	0.000000	0.000000
mwmcf	4	0.000000	0.000000
mwmcf	5	0.000000	0.000000
mwmcf	6	0.000000	0.000000
mwmcf	7	0.000000	0.000000
mwmcf	8	0.000000	0.000000
mwmcf	9	0.000000	0.000000
raeke	0	0.090994	0.000000
raeke	1	0.090994	0.000000
raeke	2	0.154696	0.000000
raeke	3	0.103259	0.000000
raeke	4	0.046675	0.000000
raeke	5	0.126861	0.000000
raeke	6	0.106331	0.000000
raeke	7	0.061045	0.000000
raeke	8	0.046682	0.000000
raeke	9	0.079960	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.000000	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.000000	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfmcf	0	0.200000	0.000000
semimcfmcf	1	0.200000	0.000000
semimcfmcf	2	0.188500	0.000000
semimcfmcf	3	0.182000	0.000000
semimcfmcf	4	0.185500	0.000000
semimcfmcf	5	0.198000	0.000000
semimcfmcf	6	0.107000	0.000000
semimcfmcf	7	0.108000	0.000000
semimcfmcf	8	0.184000	0.000000
semimcfmcf	9	0.191000	0.000000
semimcfraeke	0	0.229530	0.000000
semimcfraeke	1	0.229530	0.000000
semimcfraeke	2	0.257211	0.000000
semimcfraeke	3	0.208975	0.000000
semimcfraeke	4	0.244180	0.000000
semimcfraeke	5	0.248225	0.000000
semimcfraeke	6	0.226000	0.000000
semimcfraeke	7	0.244688	0.000000
semimcfraeke	8	0.231377	0.000000
semimcfraeke	9	0.224280	0.000000
semimcfvlb	0	0.200000	0.000000
semimcfvlb	1	0.200000	0.000000
semimcfvlb	2	0.145000	0.000000
semimcfvlb	3	0.150000	0.000000
semimcfvlb	4	0.139000	0.000000
semimcfvlb	5	0.194229	0.000000
semimcfvlb	6	0.169937	0.000000
semimcfvlb	7	0.152500	0.000000
semimcfvlb	8	0.145400	0.000000
semimcfvlb	9	0.194400	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	0.000000	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.010484	0.000000
vlb	2	0.015810	0.000000
vlb	3	0.020104	0.000000
vlb	4	0.017230	0.000000
vlb	5	0.017635	0.000000
vlb	6	0.010352	0.000000
vlb	7	0.012000	0.000000
vlb	8	0.003786	0.000000
vlb	9	0.016014	0.000000

