# solver	iter	mean-congestion	stddev
ecmp	0	0.085530	0.000000
ecmp	1	0.085530	0.000000
ecmp	2	0.064051	0.000000
ecmp	3	0.064051	0.000000
ecmp	4	0.042966	0.000000
ecmp	5	0.042966	0.000000
ecmp	6	0.042966	0.000000
ecmp	7	0.064051	0.000000
ecmp	8	0.042966	0.000000
ecmp	9	0.042966	0.000000
ksp	0	0.216867	0.000000
ksp	1	0.216867	0.000000
ksp	2	0.215094	0.000000
ksp	3	0.185764	0.000000
ksp	4	0.197743	0.000000
ksp	5	0.192230	0.000000
ksp	6	0.205383	0.000000
ksp	7	0.204627	0.000000
ksp	8	0.225915	0.000000
ksp	9	0.197743	0.000000
mcf	0	0.274667	0.000000
mcf	1	0.274667	0.000000
mcf	2	0.247735	0.000000
mcf	3	0.268973	0.000000
mcf	4	0.233522	0.000000
mcf	5	0.234970	0.000000
mcf	6	0.270781	0.000000
mcf	7	0.246842	0.000000
mcf	8	0.260336	0.000000
mcf	9	0.245852	0.000000
mwmcf	0	0.085530	0.000000
mwmcf	1	0.085530	0.000000
mwmcf	2	0.042966	0.000000
mwmcf	3	0.064051	0.000000
mwmcf	4	0.064051	0.000000
mwmcf	5	0.042966	0.000000
mwmcf	6	0.064051	0.000000
mwmcf	7	0.064051	0.000000
mwmcf	8	0.042966	0.000000
mwmcf	9	0.042966	0.000000
raeke	0	0.215488	0.000000
raeke	1	0.215488	0.000000
raeke	2	0.239389	0.000000
raeke	3	0.203615	0.000000
raeke	4	0.204934	0.000000
raeke	5	0.239389	0.000000
raeke	6	0.231209	0.000000
raeke	7	0.206205	0.000000
raeke	8	0.203615	0.000000
raeke	9	0.191717	0.000000
semimcfecmp	0	0.085530	0.000000
semimcfecmp	1	0.085530	0.000000
semimcfecmp	2	0.042966	0.000000
semimcfecmp	3	0.042966	0.000000
semimcfecmp	4	0.042966	0.000000
semimcfecmp	5	0.042966	0.000000
semimcfecmp	6	0.064051	0.000000
semimcfecmp	7	0.042966	0.000000
semimcfecmp	8	0.064051	0.000000
semimcfecmp	9	0.064051	0.000000
semimcfksp	0	0.234667	0.000000
semimcfksp	1	0.234667	0.000000
semimcfksp	2	0.225685	0.000000
semimcfksp	3	0.218937	0.000000
semimcfksp	4	0.215111	0.000000
semimcfksp	5	0.217263	0.000000
semimcfksp	6	0.215111	0.000000
semimcfksp	7	0.214845	0.000000
semimcfksp	8	0.221944	0.000000
semimcfksp	9	0.209203	0.000000
semimcfmcf	0	0.274667	0.000000
semimcfmcf	1	0.274667	0.000000
semimcfmcf	2	0.247735	0.000000
semimcfmcf	3	0.246241	0.000000
semimcfmcf	4	0.230703	0.000000
semimcfmcf	5	0.241341	0.000000
semimcfmcf	6	0.275873	0.000000
semimcfmcf	7	0.233522	0.000000
semimcfmcf	8	0.246842	0.000000
semimcfmcf	9	0.234637	0.000000
semimcfraeke	0	0.290870	0.000000
semimcfraeke	1	0.290870	0.000000
semimcfraeke	2	0.279884	0.000000
semimcfraeke	3	0.275767	0.000000
semimcfraeke	4	0.274322	0.000000
semimcfraeke	5	0.287296	0.000000
semimcfraeke	6	0.332020	0.000000
semimcfraeke	7	0.275346	0.000000
semimcfraeke	8	0.287150	0.000000
semimcfraeke	9	0.288328	0.000000
semimcfvlb	0	0.273556	0.000000
semimcfvlb	1	0.273556	0.000000
semimcfvlb	2	0.252535	0.000000
semimcfvlb	3	0.287050	0.000000
semimcfvlb	4	0.252535	0.000000
semimcfvlb	5	0.271459	0.000000
semimcfvlb	6	0.252693	0.000000
semimcfvlb	7	0.289433	0.000000
semimcfvlb	8	0.264476	0.000000
semimcfvlb	9	0.244869	0.000000
spf	0	0.085530	0.000000
spf	1	0.085530	0.000000
spf	2	0.042966	0.000000
spf	3	0.042966	0.000000
spf	4	0.042966	0.000000
spf	5	0.064051	0.000000
spf	6	0.042966	0.000000
spf	7	0.064051	0.000000
spf	8	0.042966	0.000000
spf	9	0.042966	0.000000
vlb	0	0.147193	0.000000
vlb	1	0.174243	0.000000
vlb	2	0.194466	0.000000
vlb	3	0.185993	0.000000
vlb	4	0.184098	0.000000
vlb	5	0.143897	0.000000
vlb	6	0.158295	0.000000
vlb	7	0.142693	0.000000
vlb	8	0.195429	0.000000
vlb	9	0.202827	0.000000

