# solver	iter	.0.200000-congestion	stddev
ecmp	0	0.406000	0.000000
ecmp	1	0.406000	0.000000
ecmp	2	0.044965	0.000000
ecmp	3	0.044965	0.000000
ecmp	4	0.053930	0.000000
ecmp	5	0.053930	0.000000
ecmp	6	0.053930	0.000000
ecmp	7	0.044965	0.000000
ecmp	8	0.053930	0.000000
ecmp	9	0.053930	0.000000
ksp	0	0.600000	0.000000
ksp	1	0.600000	0.000000
ksp	2	0.658583	0.000000
ksp	3	0.642500	0.000000
ksp	4	0.652400	0.000000
ksp	5	0.607167	0.000000
ksp	6	0.616500	0.000000
ksp	7	0.689500	0.000000
ksp	8	0.700750	0.000000
ksp	9	0.652400	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400000	0.000000
mcf	2	0.433000	0.000000
mcf	3	0.466500	0.000000
mcf	4	0.416000	0.000000
mcf	5	0.400000	0.000000
mcf	6	0.481250	0.000000
mcf	7	0.416500	0.000000
mcf	8	0.467500	0.000000
mcf	9	0.433000	0.000000
mwmcf	0	0.406000	0.000000
mwmcf	1	0.406000	0.000000
mwmcf	2	0.053930	0.000000
mwmcf	3	0.044965	0.000000
mwmcf	4	0.044965	0.000000
mwmcf	5	0.053930	0.000000
mwmcf	6	0.044965	0.000000
mwmcf	7	0.044965	0.000000
mwmcf	8	0.053930	0.000000
mwmcf	9	0.053930	0.000000
raeke	0	0.479948	0.000000
raeke	1	0.479948	0.000000
raeke	2	0.478558	0.000000
raeke	3	0.471043	0.000000
raeke	4	0.471071	0.000000
raeke	5	0.478558	0.000000
raeke	6	0.463763	0.000000
raeke	7	0.537497	0.000000
raeke	8	0.471043	0.000000
raeke	9	0.468729	0.000000
semimcfecmp	0	0.406000	0.000000
semimcfecmp	1	0.406000	0.000000
semimcfecmp	2	0.053930	0.000000
semimcfecmp	3	0.053930	0.000000
semimcfecmp	4	0.053930	0.000000
semimcfecmp	5	0.053930	0.000000
semimcfecmp	6	0.044965	0.000000
semimcfecmp	7	0.053930	0.000000
semimcfecmp	8	0.044965	0.000000
semimcfecmp	9	0.044965	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600000	0.000000
semimcfksp	2	0.600000	0.000000
semimcfksp	3	0.600000	0.000000
semimcfksp	4	0.600000	0.000000
semimcfksp	5	0.701250	0.000000
semimcfksp	6	0.600000	0.000000
semimcfksp	7	0.600000	0.000000
semimcfksp	8	0.649500	0.000000
semimcfksp	9	0.600000	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400000	0.000000
semimcfmcf	2	0.433000	0.000000
semimcfmcf	3	0.431000	0.000000
semimcfmcf	4	0.433000	0.000000
semimcfmcf	5	0.433750	0.000000
semimcfmcf	6	0.433250	0.000000
semimcfmcf	7	0.416000	0.000000
semimcfmcf	8	0.416500	0.000000
semimcfmcf	9	0.400000	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.400000	0.000000
semimcfraeke	2	0.510929	0.000000
semimcfraeke	3	0.474250	0.000000
semimcfraeke	4	0.519060	0.000000
semimcfraeke	5	0.441000	0.000000
semimcfraeke	6	0.587500	0.000000
semimcfraeke	7	0.454333	0.000000
semimcfraeke	8	0.413125	0.000000
semimcfraeke	9	0.524667	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400000	0.000000
semimcfvlb	2	0.495250	0.000000
semimcfvlb	3	0.501250	0.000000
semimcfvlb	4	0.495250	0.000000
semimcfvlb	5	0.492250	0.000000
semimcfvlb	6	0.433125	0.000000
semimcfvlb	7	0.458200	0.000000
semimcfvlb	8	0.463875	0.000000
semimcfvlb	9	0.492250	0.000000
spf	0	0.406000	0.000000
spf	1	0.406000	0.000000
spf	2	0.053930	0.000000
spf	3	0.053930	0.000000
spf	4	0.053930	0.000000
spf	5	0.044965	0.000000
spf	6	0.053930	0.000000
spf	7	0.044965	0.000000
spf	8	0.053930	0.000000
spf	9	0.053930	0.000000
vlb	0	0.556833	0.000000
vlb	1	0.607587	0.000000
vlb	2	0.620942	0.000000
vlb	3	0.607002	0.000000
vlb	4	0.691711	0.000000
vlb	5	0.522917	0.000000
vlb	6	0.631141	0.000000
vlb	7	0.528723	0.000000
vlb	8	0.543736	0.000000
vlb	9	0.642203	0.000000

