# solver	iter	time	stddev
ecmp	0	0.085904	0.000000
ecmp	1	0.087622	0.000000
ecmp	2	0.083952	0.000000
ecmp	3	0.082170	0.000000
ecmp	4	0.080352	0.000000
ecmp	5	0.082726	0.000000
ecmp	6	0.091333	0.000000
ecmp	7	0.081968	0.000000
ecmp	8	0.089271	0.000000
ecmp	9	0.082555	0.000000
ksp	0	0.004425	0.000000
ksp	1	0.008135	0.000000
ksp	2	0.006515	0.000000
ksp	3	0.004604	0.000000
ksp	4	0.021670	0.000000
ksp	5	0.007006	0.000000
ksp	6	0.009763	0.000000
ksp	7	0.007447	0.000000
ksp	8	0.004505	0.000000
ksp	9	0.004416	0.000000
mcf	0	0.065938	0.000000
mcf	1	0.060491	0.000000
mcf	2	0.073676	0.000000
mcf	3	0.065568	0.000000
mcf	4	0.067066	0.000000
mcf	5	0.060477	0.000000
mcf	6	0.060660	0.000000
mcf	7	0.051763	0.000000
mcf	8	0.062053	0.000000
mcf	9	0.069905	0.000000
mwmcf	0	0.002840	0.000000
mwmcf	1	0.000062	0.000000
mwmcf	2	0.000031	0.000000
mwmcf	3	0.000027	0.000000
mwmcf	4	0.000023	0.000000
mwmcf	5	0.000022	0.000000
mwmcf	6	0.000024	0.000000
mwmcf	7	0.000221	0.000000
mwmcf	8	0.000033	0.000000
mwmcf	9	0.000022	0.000000
raeke	0	1.240810	0.000000
raeke	1	0.000208	0.000000
raeke	2	0.000250	0.000000
raeke	3	0.000352	0.000000
raeke	4	0.000260	0.000000
raeke	5	0.000366	0.000000
raeke	6	0.000227	0.000000
raeke	7	0.000252	0.000000
raeke	8	0.000213	0.000000
raeke	9	0.000180	0.000000
semimcfecmp	0	0.008865	0.000000
semimcfecmp	1	0.007411	0.000000
semimcfecmp	2	0.005548	0.000000
semimcfecmp	3	0.009956	0.000000
semimcfecmp	4	0.014102	0.000000
semimcfecmp	5	0.007686	0.000000
semimcfecmp	6	0.006938	0.000000
semimcfecmp	7	0.006136	0.000000
semimcfecmp	8	0.005143	0.000000
semimcfecmp	9	0.005068	0.000000
semimcfksp	0	0.009024	0.000000
semimcfksp	1	0.008249	0.000000
semimcfksp	2	0.017980	0.000000
semimcfksp	3	0.010667	0.000000
semimcfksp	4	0.009457	0.000000
semimcfksp	5	0.019825	0.000000
semimcfksp	6	0.009635	0.000000
semimcfksp	7	0.020666	0.000000
semimcfksp	8	0.015751	0.000000
semimcfksp	9	0.007903	0.000000
semimcfmcf	0	0.012417	0.000000
semimcfmcf	1	0.008101	0.000000
semimcfmcf	2	0.009962	0.000000
semimcfmcf	3	0.009740	0.000000
semimcfmcf	4	0.009645	0.000000
semimcfmcf	5	0.012960	0.000000
semimcfmcf	6	0.009499	0.000000
semimcfmcf	7	0.008838	0.000000
semimcfmcf	8	0.009336	0.000000
semimcfmcf	9	0.008581	0.000000
semimcfraeke	0	0.058280	0.000000
semimcfraeke	1	0.066161	0.000000
semimcfraeke	2	0.063367	0.000000
semimcfraeke	3	0.074493	0.000000
semimcfraeke	4	0.065092	0.000000
semimcfraeke	5	0.085731	0.000000
semimcfraeke	6	0.085938	0.000000
semimcfraeke	7	0.083351	0.000000
semimcfraeke	8	0.086472	0.000000
semimcfraeke	9	0.063822	0.000000
semimcfvlb	0	0.014092	0.000000
semimcfvlb	1	0.013279	0.000000
semimcfvlb	2	0.022105	0.000000
semimcfvlb	3	0.022260	0.000000
semimcfvlb	4	0.016674	0.000000
semimcfvlb	5	0.014172	0.000000
semimcfvlb	6	0.015890	0.000000
semimcfvlb	7	0.027282	0.000000
semimcfvlb	8	0.015807	0.000000
semimcfvlb	9	0.027180	0.000000
spf	0	0.000856	0.000000
spf	1	0.001571	0.000000
spf	2	0.001198	0.000000
spf	3	0.000840	0.000000
spf	4	0.001882	0.000000
spf	5	0.001645	0.000000
spf	6	0.001559	0.000000
spf	7	0.001320	0.000000
spf	8	0.002511	0.000000
spf	9	0.001206	0.000000
vlb	0	0.102535	0.000000
vlb	1	0.110519	0.000000
vlb	2	0.110928	0.000000
vlb	3	0.099384	0.000000
vlb	4	0.096705	0.000000
vlb	5	0.088088	0.000000
vlb	6	0.095126	0.000000
vlb	7	0.088502	0.000000
vlb	8	0.092884	0.000000
vlb	9	0.097589	0.000000

