# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.673333	0.000000
ecmp	1	0.673333	0.000000
ecmp	2	0.673333	0.000000
ecmp	3	0.673333	0.000000
ecmp	4	0.673333	0.000000
ecmp	5	0.673333	0.000000
ecmp	6	0.673333	0.000000
ecmp	7	0.673333	0.000000
ecmp	8	0.673333	0.000000
ecmp	9	0.673333	0.000000
ksp	0	0.372593	0.000000
ksp	1	0.372593	0.000000
ksp	2	0.372593	0.000000
ksp	3	0.372593	0.000000
ksp	4	0.372593	0.000000
ksp	5	0.372593	0.000000
ksp	6	0.372593	0.000000
ksp	7	0.372593	0.000000
ksp	8	0.372593	0.000000
ksp	9	0.372593	0.000000
mcf	0	0.316923	0.000000
mcf	1	0.316923	0.000000
mcf	2	0.316923	0.000000
mcf	3	0.316923	0.000000
mcf	4	0.316923	0.000000
mcf	5	0.316923	0.000000
mcf	6	0.316923	0.000000
mcf	7	0.316923	0.000000
mcf	8	0.316923	0.000000
mcf	9	0.316923	0.000000
mwmcf	0	0.673333	0.000000
mwmcf	1	0.673333	0.000000
mwmcf	2	0.673333	0.000000
mwmcf	3	0.673333	0.000000
mwmcf	4	0.673333	0.000000
mwmcf	5	0.673333	0.000000
mwmcf	6	0.673333	0.000000
mwmcf	7	0.673333	0.000000
mwmcf	8	0.673333	0.000000
mwmcf	9	0.673333	0.000000
raeke	0	0.245523	0.000000
raeke	1	0.245523	0.000000
raeke	2	0.245523	0.000000
raeke	3	0.236706	0.000000
raeke	4	0.274274	0.000000
raeke	5	0.271318	0.000000
raeke	6	0.240518	0.000000
raeke	7	0.235517	0.000000
raeke	8	0.238842	0.000000
raeke	9	0.236663	0.000000
semimcfecmp	0	0.673333	0.000000
semimcfecmp	1	0.673333	0.000000
semimcfecmp	2	0.673333	0.000000
semimcfecmp	3	0.673333	0.000000
semimcfecmp	4	0.673333	0.000000
semimcfecmp	5	0.673333	0.000000
semimcfecmp	6	0.673333	0.000000
semimcfecmp	7	0.673333	0.000000
semimcfecmp	8	0.673333	0.000000
semimcfecmp	9	0.673333	0.000000
semimcfksp	0	0.391111	0.000000
semimcfksp	1	0.391111	0.000000
semimcfksp	2	0.391111	0.000000
semimcfksp	3	0.391111	0.000000
semimcfksp	4	0.391111	0.000000
semimcfksp	5	0.391111	0.000000
semimcfksp	6	0.391111	0.000000
semimcfksp	7	0.391111	0.000000
semimcfksp	8	0.391111	0.000000
semimcfksp	9	0.391111	0.000000
semimcfmcf	0	0.316923	0.000000
semimcfmcf	1	0.316923	0.000000
semimcfmcf	2	0.316923	0.000000
semimcfmcf	3	0.316923	0.000000
semimcfmcf	4	0.316923	0.000000
semimcfmcf	5	0.316923	0.000000
semimcfmcf	6	0.316923	0.000000
semimcfmcf	7	0.316923	0.000000
semimcfmcf	8	0.316923	0.000000
semimcfmcf	9	0.316923	0.000000
semimcfraeke	0	0.283542	0.000000
semimcfraeke	1	0.283542	0.000000
semimcfraeke	2	0.283542	0.000000
semimcfraeke	3	0.293793	0.000000
semimcfraeke	4	0.297298	0.000000
semimcfraeke	5	0.284972	0.000000
semimcfraeke	6	0.294890	0.000000
semimcfraeke	7	0.281333	0.000000
semimcfraeke	8	0.290331	0.000000
semimcfraeke	9	0.274667	0.000000
semimcfvlb	0	0.281412	0.000000
semimcfvlb	1	0.281412	0.000000
semimcfvlb	2	0.281412	0.000000
semimcfvlb	3	0.287586	0.000000
semimcfvlb	4	0.280465	0.000000
semimcfvlb	5	0.268000	0.000000
semimcfvlb	6	0.272644	0.000000
semimcfvlb	7	0.290370	0.000000
semimcfvlb	8	0.290824	0.000000
semimcfvlb	9	0.265714	0.000000
spf	0	0.673333	0.000000
spf	1	0.673333	0.000000
spf	2	0.673333	0.000000
spf	3	0.673333	0.000000
spf	4	0.673333	0.000000
spf	5	0.673333	0.000000
spf	6	0.673333	0.000000
spf	7	0.673333	0.000000
spf	8	0.673333	0.000000
spf	9	0.673333	0.000000
vlb	0	0.253248	0.000000
vlb	1	0.225465	0.000000
vlb	2	0.261106	0.000000
vlb	3	0.258526	0.000000
vlb	4	0.257744	0.000000
vlb	5	0.233054	0.000000
vlb	6	0.240700	0.000000
vlb	7	0.243303	0.000000
vlb	8	0.241173	0.000000
vlb	9	0.239619	0.000000

