# solver	iter	.0.200000-congestion	stddev
ecmp	0	0.406000	0.000000
ecmp	1	0.406000	0.000000
ecmp	2	0.508786	0.000000
ecmp	3	0.508786	0.000000
ecmp	4	0.508786	0.000000
ecmp	5	0.508786	0.000000
ecmp	6	0.508786	0.000000
ecmp	7	0.508786	0.000000
ecmp	8	0.508786	0.000000
ecmp	9	0.508786	0.000000
ksp	0	0.600000	0.000000
ksp	1	0.600000	0.000000
ksp	2	0.689659	0.000000
ksp	3	0.689659	0.000000
ksp	4	0.689659	0.000000
ksp	5	0.689659	0.000000
ksp	6	0.689659	0.000000
ksp	7	0.689659	0.000000
ksp	8	0.689659	0.000000
ksp	9	0.689659	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400000	0.000000
mcf	2	0.441000	0.000000
mcf	3	0.441000	0.000000
mcf	4	0.441000	0.000000
mcf	5	0.441000	0.000000
mcf	6	0.441000	0.000000
mcf	7	0.441000	0.000000
mcf	8	0.441000	0.000000
mcf	9	0.441000	0.000000
mwmcf	0	0.406000	0.000000
mwmcf	1	0.406000	0.000000
mwmcf	2	0.055400	0.000000
mwmcf	3	0.055400	0.000000
mwmcf	4	0.055400	0.000000
mwmcf	5	0.055400	0.000000
mwmcf	6	0.055400	0.000000
mwmcf	7	0.055400	0.000000
mwmcf	8	0.055400	0.000000
mwmcf	9	0.055400	0.000000
raeke	0	0.479459	0.000000
raeke	1	0.479459	0.000000
raeke	2	0.497152	0.000000
raeke	3	0.427538	0.000000
raeke	4	0.490932	0.000000
raeke	5	0.507375	0.000000
raeke	6	0.458881	0.000000
raeke	7	0.499706	0.000000
raeke	8	0.480812	0.000000
raeke	9	0.495372	0.000000
semimcfecmp	0	0.406000	0.000000
semimcfecmp	1	0.406000	0.000000
semimcfecmp	2	0.507000	0.000000
semimcfecmp	3	0.507000	0.000000
semimcfecmp	4	0.507000	0.000000
semimcfecmp	5	0.507000	0.000000
semimcfecmp	6	0.507000	0.000000
semimcfecmp	7	0.507000	0.000000
semimcfecmp	8	0.507000	0.000000
semimcfecmp	9	0.507000	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600000	0.000000
semimcfksp	2	0.766500	0.000000
semimcfksp	3	0.766500	0.000000
semimcfksp	4	0.766500	0.000000
semimcfksp	5	0.766500	0.000000
semimcfksp	6	0.766500	0.000000
semimcfksp	7	0.766500	0.000000
semimcfksp	8	0.766500	0.000000
semimcfksp	9	0.766500	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400000	0.000000
semimcfmcf	2	0.441000	0.000000
semimcfmcf	3	0.441000	0.000000
semimcfmcf	4	0.441000	0.000000
semimcfmcf	5	0.441000	0.000000
semimcfmcf	6	0.441000	0.000000
semimcfmcf	7	0.441000	0.000000
semimcfmcf	8	0.441000	0.000000
semimcfmcf	9	0.441000	0.000000
semimcfraeke	0	0.405882	0.000000
semimcfraeke	1	0.405882	0.000000
semimcfraeke	2	0.459861	0.000000
semimcfraeke	3	0.458750	0.000000
semimcfraeke	4	0.447076	0.000000
semimcfraeke	5	0.454537	0.000000
semimcfraeke	6	0.458896	0.000000
semimcfraeke	7	0.461658	0.000000
semimcfraeke	8	0.462445	0.000000
semimcfraeke	9	0.438500	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400000	0.000000
semimcfvlb	2	0.451875	0.000000
semimcfvlb	3	0.480000	0.000000
semimcfvlb	4	0.445500	0.000000
semimcfvlb	5	0.438500	0.000000
semimcfvlb	6	0.448500	0.000000
semimcfvlb	7	0.469313	0.000000
semimcfvlb	8	0.439063	0.000000
semimcfvlb	9	0.452625	0.000000
spf	0	0.406000	0.000000
spf	1	0.406000	0.000000
spf	2	0.522000	0.000000
spf	3	0.522000	0.000000
spf	4	0.522000	0.000000
spf	5	0.522000	0.000000
spf	6	0.522000	0.000000
spf	7	0.522000	0.000000
spf	8	0.522000	0.000000
spf	9	0.522000	0.000000
vlb	0	0.604904	0.000000
vlb	1	0.553039	0.000000
vlb	2	0.714411	0.000000
vlb	3	0.668199	0.000000
vlb	4	0.631478	0.000000
vlb	5	0.582745	0.000000
vlb	6	0.611051	0.000000
vlb	7	0.593938	0.000000
vlb	8	0.619708	0.000000
vlb	9	0.598718	0.000000

