# solver	iter	churn	stddev
ecmp	0	20.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	12.000000	0.000000
ecmp	4	12.000000	0.000000
ecmp	5	12.000000	0.000000
ecmp	6	12.000000	0.000000
ecmp	7	12.000000	0.000000
ecmp	8	12.000000	0.000000
ecmp	9	12.000000	0.000000
ksp	0	60.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.000000	0.000000
ksp	3	20.000000	0.000000
ksp	4	20.000000	0.000000
ksp	5	20.000000	0.000000
ksp	6	20.000000	0.000000
ksp	7	20.000000	0.000000
ksp	8	20.000000	0.000000
ksp	9	20.000000	0.000000
mcf	0	38.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	4.000000	0.000000
mcf	4	4.000000	0.000000
mcf	5	4.000000	0.000000
mcf	6	4.000000	0.000000
mcf	7	4.000000	0.000000
mcf	8	4.000000	0.000000
mcf	9	4.000000	0.000000
mwmcf	0	20.000000	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	0.000000	0.000000
mwmcf	3	12.000000	0.000000
mwmcf	4	12.000000	0.000000
mwmcf	5	12.000000	0.000000
mwmcf	6	12.000000	0.000000
mwmcf	7	12.000000	0.000000
mwmcf	8	12.000000	0.000000
mwmcf	9	12.000000	0.000000
raeke	0	60.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	12.000000	0.000000
raeke	4	12.000000	0.000000
raeke	5	12.000000	0.000000
raeke	6	12.000000	0.000000
raeke	7	12.000000	0.000000
raeke	8	12.000000	0.000000
raeke	9	12.000000	0.000000
semimcfecmp	0	20.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.000000	0.000000
semimcfecmp	3	12.000000	0.000000
semimcfecmp	4	12.000000	0.000000
semimcfecmp	5	12.000000	0.000000
semimcfecmp	6	12.000000	0.000000
semimcfecmp	7	12.000000	0.000000
semimcfecmp	8	12.000000	0.000000
semimcfecmp	9	12.000000	0.000000
semimcfksp	0	60.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.000000	0.000000
semimcfksp	3	20.000000	0.000000
semimcfksp	4	20.000000	0.000000
semimcfksp	5	20.000000	0.000000
semimcfksp	6	20.000000	0.000000
semimcfksp	7	20.000000	0.000000
semimcfksp	8	20.000000	0.000000
semimcfksp	9	20.000000	0.000000
semimcfmcf	0	37.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	4.000000	0.000000
semimcfmcf	4	4.000000	0.000000
semimcfmcf	5	4.000000	0.000000
semimcfmcf	6	4.000000	0.000000
semimcfmcf	7	4.000000	0.000000
semimcfmcf	8	4.000000	0.000000
semimcfmcf	9	4.000000	0.000000
semimcfraeke	0	60.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.000000	0.000000
semimcfraeke	3	8.000000	0.000000
semimcfraeke	4	8.000000	0.000000
semimcfraeke	5	8.000000	0.000000
semimcfraeke	6	8.000000	0.000000
semimcfraeke	7	8.000000	0.000000
semimcfraeke	8	8.000000	0.000000
semimcfraeke	9	8.000000	0.000000
semimcfvlb	0	60.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.000000	0.000000
semimcfvlb	3	9.000000	0.000000
semimcfvlb	4	9.000000	0.000000
semimcfvlb	5	9.000000	0.000000
semimcfvlb	6	9.000000	0.000000
semimcfvlb	7	9.000000	0.000000
semimcfvlb	8	9.000000	0.000000
semimcfvlb	9	9.000000	0.000000
spf	0	20.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	12.000000	0.000000
spf	4	12.000000	0.000000
spf	5	12.000000	0.000000
spf	6	12.000000	0.000000
spf	7	12.000000	0.000000
spf	8	12.000000	0.000000
spf	9	12.000000	0.000000
vlb	0	60.000000	0.000000
vlb	1	50.000000	0.000000
vlb	2	48.000000	0.000000
vlb	3	63.000000	0.000000
vlb	4	53.000000	0.000000
vlb	5	64.000000	0.000000
vlb	6	60.000000	0.000000
vlb	7	51.000000	0.000000
vlb	8	48.000000	0.000000
vlb	9	54.000000	0.000000

