#solver	iter	latency-throughput
ecmp	0	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
ecmp	1	
		1. : 0.294444444444
		2. : 0.461111111111
		3. : 0.572222222222
		4. : 0.627777777778
ecmp	2	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	3	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	4	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	5	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	6	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	7	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	8	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ecmp	9	
		1. : 0.294416666667
		2. : 0.399111111111
		3. : 0.412444444444
		4. : 0.419388888889
ksp	0	
		1. : 0.130555555556
		2. : 0.225
		3. : 0.552777777778
		4. : 0.775
		5. : 0.902777777778
		6. : 0.966666666667
ksp	1	
		1. : 0.130555555556
		2. : 0.225
		3. : 0.552777777778
		4. : 0.775
		5. : 0.902777777778
		6. : 0.966666666667
ksp	2	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	3	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	4	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	5	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	6	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	7	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	8	
		1. : 0.103361111111
		2. : 0.143722222222
		3. : 0.441825396825
		4. : 0.627738095238
		5. : 0.746011904762
		6. : 0.832380952381
ksp	9	
