# solver	iter	mean-congestion	stddev
ecmp	0	0.085530	0.000000
ecmp	1	0.085530	0.000000
ecmp	2	0.054504	0.000000
ecmp	3	0.054504	0.000000
ecmp	4	0.054504	0.000000
ecmp	5	0.054504	0.000000
ecmp	6	0.054504	0.000000
ecmp	7	0.054504	0.000000
ecmp	8	0.054504	0.000000
ecmp	9	0.054504	0.000000
ksp	0	0.216867	0.000000
ksp	1	0.216867	0.000000
ksp	2	0.175199	0.000000
ksp	3	0.175199	0.000000
ksp	4	0.175199	0.000000
ksp	5	0.175199	0.000000
ksp	6	0.175199	0.000000
ksp	7	0.175199	0.000000
ksp	8	0.175199	0.000000
ksp	9	0.175199	0.000000
mcf	0	0.274667	0.000000
mcf	1	0.274667	0.000000
mcf	2	0.263621	0.000000
mcf	3	0.263621	0.000000
mcf	4	0.263621	0.000000
mcf	5	0.263621	0.000000
mcf	6	0.263621	0.000000
mcf	7	0.263621	0.000000
mcf	8	0.263621	0.000000
mcf	9	0.263621	0.000000
mwmcf	0	0.085530	0.000000
mwmcf	1	0.085530	0.000000
mwmcf	2	0.054504	0.000000
mwmcf	3	0.054504	0.000000
mwmcf	4	0.054504	0.000000
mwmcf	5	0.054504	0.000000
mwmcf	6	0.054504	0.000000
mwmcf	7	0.054504	0.000000
mwmcf	8	0.054504	0.000000
mwmcf	9	0.054504	0.000000
raeke	0	0.221260	0.000000
raeke	1	0.221260	0.000000
raeke	2	0.192489	0.000000
raeke	3	0.192489	0.000000
raeke	4	0.192489	0.000000
raeke	5	0.192489	0.000000
raeke	6	0.192489	0.000000
raeke	7	0.192489	0.000000
raeke	8	0.192489	0.000000
raeke	9	0.192489	0.000000
semimcfecmp	0	0.085530	0.000000
semimcfecmp	1	0.085530	0.000000
semimcfecmp	2	0.054504	0.000000
semimcfecmp	3	0.054504	0.000000
semimcfecmp	4	0.054504	0.000000
semimcfecmp	5	0.054504	0.000000
semimcfecmp	6	0.054504	0.000000
semimcfecmp	7	0.054504	0.000000
semimcfecmp	8	0.054504	0.000000
semimcfecmp	9	0.054504	0.000000
semimcfksp	0	0.234667	0.000000
semimcfksp	1	0.234667	0.000000
semimcfksp	2	0.204883	0.000000
semimcfksp	3	0.204883	0.000000
semimcfksp	4	0.204883	0.000000
semimcfksp	5	0.204883	0.000000
semimcfksp	6	0.204883	0.000000
semimcfksp	7	0.204883	0.000000
semimcfksp	8	0.204883	0.000000
semimcfksp	9	0.204883	0.000000
semimcfmcf	0	0.274667	0.000000
semimcfmcf	1	0.274667	0.000000
semimcfmcf	2	0.263621	0.000000
semimcfmcf	3	0.263621	0.000000
semimcfmcf	4	0.263621	0.000000
semimcfmcf	5	0.263621	0.000000
semimcfmcf	6	0.263621	0.000000
semimcfmcf	7	0.263621	0.000000
semimcfmcf	8	0.263621	0.000000
semimcfmcf	9	0.263621	0.000000
semimcfraeke	0	0.292659	0.000000
semimcfraeke	1	0.292659	0.000000
semimcfraeke	2	0.284619	0.000000
semimcfraeke	3	0.284619	0.000000
semimcfraeke	4	0.284619	0.000000
semimcfraeke	5	0.284619	0.000000
semimcfraeke	6	0.284619	0.000000
semimcfraeke	7	0.284619	0.000000
semimcfraeke	8	0.284619	0.000000
semimcfraeke	9	0.284619	0.000000
semimcfvlb	0	0.267556	0.000000
semimcfvlb	1	0.267556	0.000000
semimcfvlb	2	0.256049	0.000000
semimcfvlb	3	0.256049	0.000000
semimcfvlb	4	0.256049	0.000000
semimcfvlb	5	0.256049	0.000000
semimcfvlb	6	0.256049	0.000000
semimcfvlb	7	0.256049	0.000000
semimcfvlb	8	0.256049	0.000000
semimcfvlb	9	0.256049	0.000000
spf	0	0.085530	0.000000
spf	1	0.085530	0.000000
spf	2	0.054504	0.000000
spf	3	0.054504	0.000000
spf	4	0.054504	0.000000
spf	5	0.054504	0.000000
spf	6	0.054504	0.000000
spf	7	0.054504	0.000000
spf	8	0.054504	0.000000
spf	9	0.054504	0.000000
vlb	0	0.155658	0.000000
vlb	1	0.164481	0.000000
vlb	2	0.120951	0.000000
vlb	3	0.119428	0.000000
vlb	4	0.122966	0.000000
vlb	5	0.127557	0.000000
vlb	6	0.123857	0.000000
vlb	7	0.128164	0.000000
vlb	8	0.126103	0.000000
vlb	9	0.129522	0.000000

