# solver	iter	.0.300000-congestion	stddev
ecmp	0	0.007083	0.000000
ecmp	1	0.007083	0.000000
ecmp	2	0.003325	0.000000
ecmp	3	0.003325	0.000000
ecmp	4	0.003325	0.000000
ecmp	5	0.003325	0.000000
ecmp	6	0.003325	0.000000
ecmp	7	0.003325	0.000000
ecmp	8	0.003325	0.000000
ecmp	9	0.003325	0.000000
ksp	0	0.475000	0.000000
ksp	1	0.475000	0.000000
ksp	2	0.327500	0.000000
ksp	3	0.327500	0.000000
ksp	4	0.327500	0.000000
ksp	5	0.327500	0.000000
ksp	6	0.327500	0.000000
ksp	7	0.327500	0.000000
ksp	8	0.327500	0.000000
ksp	9	0.327500	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400000	0.000000
mcf	2	0.400000	0.000000
mcf	3	0.400000	0.000000
mcf	4	0.400000	0.000000
mcf	5	0.400000	0.000000
mcf	6	0.400000	0.000000
mcf	7	0.400000	0.000000
mcf	8	0.400000	0.000000
mcf	9	0.400000	0.000000
mwmcf	0	0.007083	0.000000
mwmcf	1	0.007083	0.000000
mwmcf	2	0.003325	0.000000
mwmcf	3	0.003325	0.000000
mwmcf	4	0.003325	0.000000
mwmcf	5	0.003325	0.000000
mwmcf	6	0.003325	0.000000
mwmcf	7	0.003325	0.000000
mwmcf	8	0.003325	0.000000
mwmcf	9	0.003325	0.000000
raeke	0	0.299840	0.000000
raeke	1	0.299840	0.000000
raeke	2	0.294453	0.000000
raeke	3	0.294453	0.000000
raeke	4	0.294453	0.000000
raeke	5	0.294453	0.000000
raeke	6	0.294453	0.000000
raeke	7	0.294453	0.000000
raeke	8	0.294453	0.000000
raeke	9	0.294453	0.000000
semimcfecmp	0	0.007083	0.000000
semimcfecmp	1	0.007083	0.000000
semimcfecmp	2	0.003325	0.000000
semimcfecmp	3	0.003325	0.000000
semimcfecmp	4	0.003325	0.000000
semimcfecmp	5	0.003325	0.000000
semimcfecmp	6	0.003325	0.000000
semimcfecmp	7	0.003325	0.000000
semimcfecmp	8	0.003325	0.000000
semimcfecmp	9	0.003325	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600000	0.000000
semimcfksp	2	0.600000	0.000000
semimcfksp	3	0.600000	0.000000
semimcfksp	4	0.600000	0.000000
semimcfksp	5	0.600000	0.000000
semimcfksp	6	0.600000	0.000000
semimcfksp	7	0.600000	0.000000
semimcfksp	8	0.600000	0.000000
semimcfksp	9	0.600000	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400000	0.000000
semimcfmcf	2	0.400000	0.000000
semimcfmcf	3	0.400000	0.000000
semimcfmcf	4	0.400000	0.000000
semimcfmcf	5	0.400000	0.000000
semimcfmcf	6	0.400000	0.000000
semimcfmcf	7	0.400000	0.000000
semimcfmcf	8	0.400000	0.000000
semimcfmcf	9	0.400000	0.000000
semimcfraeke	0	0.407086	0.000000
semimcfraeke	1	0.407086	0.000000
semimcfraeke	2	0.407086	0.000000
semimcfraeke	3	0.407086	0.000000
semimcfraeke	4	0.407086	0.000000
semimcfraeke	5	0.407086	0.000000
semimcfraeke	6	0.407086	0.000000
semimcfraeke	7	0.407086	0.000000
semimcfraeke	8	0.407086	0.000000
semimcfraeke	9	0.407086	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400000	0.000000
semimcfvlb	2	0.400000	0.000000
semimcfvlb	3	0.400000	0.000000
semimcfvlb	4	0.400000	0.000000
semimcfvlb	5	0.400000	0.000000
semimcfvlb	6	0.400000	0.000000
semimcfvlb	7	0.400000	0.000000
semimcfvlb	8	0.400000	0.000000
semimcfvlb	9	0.400000	0.000000
spf	0	0.007083	0.000000
spf	1	0.007083	0.000000
spf	2	0.003325	0.000000
spf	3	0.003325	0.000000
spf	4	0.003325	0.000000
spf	5	0.003325	0.000000
spf	6	0.003325	0.000000
spf	7	0.003325	0.000000
spf	8	0.003325	0.000000
spf	9	0.003325	0.000000
vlb	0	0.209943	0.000000
vlb	1	0.217890	0.000000
vlb	2	0.204735	0.000000
vlb	3	0.183158	0.000000
vlb	4	0.196333	0.000000
vlb	5	0.246173	0.000000
vlb	6	0.196542	0.000000
vlb	7	0.197736	0.000000
vlb	8	0.181571	0.000000
vlb	9	0.191341	0.000000

