# solver	iter	time	stddev
akecmp	0	0.010975	0.000000
akecmp	1	0.010832	0.000000
akmcf	0	0.010729	0.000000
akmcf	1	0.012126	0.000000
akraeke	0	0.237049	0.000000
akraeke	1	0.198056	0.000000
akvlb	0	0.047546	0.000000
akvlb	1	0.048198	0.000000
ecmp	0	0.000336	0.000000
ecmp	1	0.000322	0.000000
ksp	0	0.127284	0.000000
ksp	1	0.131867	0.000000
mcf	0	0.031858	0.000000
mcf	1	0.027176	0.000000
mwmcf	0	0.003011	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	0.569773	0.000000
raeke	1	0.000000	0.000000
semimcfecmp	0	0.003731	0.000000
semimcfecmp	1	0.003777	0.000000
semimcfmcf	0	0.004587	0.000000
semimcfmcf	1	0.004381	0.000000
semimcfraeke	0	0.184249	0.000000
semimcfraeke	1	0.200549	0.000000
semimcfvlb	0	0.015080	0.000000
semimcfvlb	1	0.014250	0.000000
spf	0	0.001104	0.000000
spf	1	0.000647	0.000000
vlb	0	0.054695	0.000000
vlb	1	0.054547	0.000000

