# solver	iter	total-throughput	stddev
ecmp	0	2576980377.599996	0.000000
ecmp	1	2576980377.599996	0.000000
ecmp	2	2576980377.599996	0.000000
ecmp	3	2576980377.599996	0.000000
ecmp	4	2576980377.599996	0.000000
ecmp	5	2576980377.599996	0.000000
ecmp	6	2576980377.599996	0.000000
ecmp	7	2576980377.599996	0.000000
ecmp	8	2576980377.599996	0.000000
ecmp	9	2576980377.599996	0.000000
ksp	0	5825407126.569694	0.000000
ksp	1	5825407126.569694	0.000000
ksp	2	5825407126.569694	0.000000
ksp	3	5825407126.569694	0.000000
ksp	4	5825407126.569694	0.000000
ksp	5	5825407126.569694	0.000000
ksp	6	5825407126.569694	0.000000
ksp	7	5825407126.569694	0.000000
ksp	8	5825407126.569694	0.000000
ksp	9	5825407126.569694	0.000000
mcf	0	9341666662.930000	0.000000
mcf	1	9341666662.930000	0.000000
mcf	2	9341666662.930000	0.000000
mcf	3	9341666662.930000	0.000000
mcf	4	9341666662.930000	0.000000
mcf	5	9341666662.930000	0.000000
mcf	6	9341666662.930000	0.000000
mcf	7	9341666662.930000	0.000000
mcf	8	9341666662.930000	0.000000
mcf	9	9341666662.930000	0.000000
mwmcf	0	2576980377.599996	0.000000
mwmcf	1	2576980377.599996	0.000000
mwmcf	2	2576980377.599996	0.000000
mwmcf	3	2576980377.599996	0.000000
mwmcf	4	2576980377.599996	0.000000
mwmcf	5	2576980377.599996	0.000000
mwmcf	6	2576980377.599996	0.000000
mwmcf	7	2576980377.599996	0.000000
mwmcf	8	2576980377.599996	0.000000
mwmcf	9	2576980377.599996	0.000000
raeke	0	9020149238.911736	0.000000
raeke	1	9020149238.911736	0.000000
raeke	2	9020149238.911736	0.000000
raeke	3	9020149238.911736	0.000000
raeke	4	9020149238.911736	0.000000
raeke	5	9020149238.911736	0.000000
raeke	6	9020149238.911736	0.000000
raeke	7	9020149238.911736	0.000000
raeke	8	9020149238.911736	0.000000
raeke	9	9020149238.911736	0.000000
semimcfecmp	0	2576980377.599996	0.000000
semimcfecmp	1	2576980377.599996	0.000000
semimcfecmp	2	2576980377.599996	0.000000
semimcfecmp	3	2576980377.599996	0.000000
semimcfecmp	4	2576980377.599996	0.000000
semimcfecmp	5	2576980377.599996	0.000000
semimcfecmp	6	2576980377.599996	0.000000
semimcfecmp	7	2576980377.599996	0.000000
semimcfecmp	8	2576980377.599996	0.000000
semimcfecmp	9	2576980377.599996	0.000000
semimcfksp	0	7035375786.000000	0.000000
semimcfksp	1	7035375786.000000	0.000000
semimcfksp	2	7035375786.000000	0.000000
semimcfksp	3	7035375786.000000	0.000000
semimcfksp	4	7035375786.000000	0.000000
semimcfksp	5	7035375786.000000	0.000000
semimcfksp	6	7035375786.000000	0.000000
semimcfksp	7	7035375786.000000	0.000000
semimcfksp	8	7035375786.000000	0.000000
semimcfksp	9	7035375786.000000	0.000000
semimcfmcf	0	9057473237.830000	0.000000
semimcfmcf	1	9057473237.830000	0.000000
semimcfmcf	2	9057473237.830000	0.000000
semimcfmcf	3	9057473237.830000	0.000000
semimcfmcf	4	9057473237.830000	0.000000
semimcfmcf	5	9057473237.830000	0.000000
semimcfmcf	6	9057473237.830000	0.000000
semimcfmcf	7	9057473237.830000	0.000000
semimcfmcf	8	9057473237.830000	0.000000
semimcfmcf	9	9057473237.830000	0.000000
semimcfraeke	0	9498917038.325798	0.000000
semimcfraeke	1	9498917038.325798	0.000000
semimcfraeke	2	9498917038.325798	0.000000
semimcfraeke	3	9498917038.325798	0.000000
semimcfraeke	4	9498917038.325798	0.000000
semimcfraeke	5	9498917038.325798	0.000000
semimcfraeke	6	9498917038.325798	0.000000
semimcfraeke	7	9498917038.325798	0.000000
semimcfraeke	8	9498917038.325798	0.000000
semimcfraeke	9	9498917038.325798	0.000000
semimcfvlb	0	9541205710.459999	0.000000
semimcfvlb	1	9541205710.459999	0.000000
semimcfvlb	2	9541205710.459999	0.000000
semimcfvlb	3	9541205710.459999	0.000000
semimcfvlb	4	9541205710.459999	0.000000
semimcfvlb	5	9541205710.459999	0.000000
semimcfvlb	6	9541205710.459999	0.000000
semimcfvlb	7	9541205710.459999	0.000000
semimcfvlb	8	9541205710.459999	0.000000
semimcfvlb	9	9541205710.459999	0.000000
spf	0	2576980377.599996	0.000000
spf	1	2576980377.599996	0.000000
spf	2	2576980377.599996	0.000000
spf	3	2576980377.599996	0.000000
spf	4	2576980377.599996	0.000000
spf	5	2576980377.599996	0.000000
spf	6	2576980377.599996	0.000000
spf	7	2576980377.599996	0.000000
spf	8	2576980377.599996	0.000000
spf	9	2576980377.599996	0.000000
vlb	0	6753108191.303932	0.000000
vlb	1	6836694823.189834	0.000000
vlb	2	6705798628.847563	0.000000
vlb	3	6450912203.998477	0.000000
vlb	4	6268914027.387961	0.000000
vlb	5	6818609780.391029	0.000000
vlb	6	6535169870.180571	0.000000
vlb	7	6704028651.570005	0.000000
vlb	8	6622122005.029030	0.000000
vlb	9	6385463701.057128	0.000000

