# solver	iter	mean-congestion	stddev
akecmp	0	0.422200	0.000000
akecmp	1	0.422200	0.000000
akmcf	0	0.143925	0.000000
akmcf	1	0.143925	0.000000
akraeke	0	0.412696	0.000000
akraeke	1	0.412696	0.000000
akvlb	0	0.545705	0.000000
akvlb	1	0.545705	0.000000
ecmp	0	0.422200	0.000000
ecmp	1	0.422200	0.000000
mcf	0	0.382187	0.000000
mcf	1	0.382187	0.000000
mwmcf	0	0.422200	0.000000
mwmcf	1	0.422200	0.000000
raeke	0	0.407920	0.000000
raeke	1	0.407920	0.000000
semimcfecmp	0	0.422200	0.000000
semimcfecmp	1	0.422200	0.000000
semimcfmcf	0	0.091561	0.000000
semimcfmcf	1	0.091561	0.000000
semimcfraeke	0	0.250112	0.000000
semimcfraeke	1	0.250112	0.000000
semimcfvlb	0	0.220161	0.000000
semimcfvlb	1	0.220161	0.000000
spf	0	0.422200	0.000000
spf	1	0.422200	0.000000
vlb	0	0.545705	0.000000
vlb	1	0.545705	0.000000

