# solver	iter	num_paths	stddev
akecmp	0	25.000000	0.000000
akecmp	1	25.000000	0.000000
akmcf	0	37.000000	0.000000
akmcf	1	37.000000	0.000000
akraeke	0	2998.000000	0.000000
akraeke	1	2998.000000	0.000000
akvlb	0	561.000000	0.000000
akvlb	1	561.000000	0.000000
ecmp	0	25.000000	0.000000
ecmp	1	25.000000	0.000000
mcf	0	16.000000	0.000000
mcf	1	16.000000	0.000000
mwmcf	0	25.000000	0.000000
mwmcf	1	25.000000	0.000000
raeke	0	2644.000000	0.000000
raeke	1	2644.000000	0.000000
semimcfecmp	0	20.000000	0.000000
semimcfecmp	1	20.000000	0.000000
semimcfmcf	0	37.000000	0.000000
semimcfmcf	1	37.000000	0.000000
semimcfraeke	0	2912.000000	0.000000
semimcfraeke	1	2912.000000	0.000000
semimcfvlb	0	441.000000	0.000000
semimcfvlb	1	441.000000	0.000000
spf	0	25.000000	0.000000
spf	1	25.000000	0.000000
vlb	0	562.000000	0.000000
vlb	1	563.000000	0.000000

