# solver	iter	time	stddev
ecmp	0	0.047931	0.000000
ecmp	1	0.048232	0.000000
ecmp	2	0.048684	0.000000
ecmp	3	0.048215	0.000000
ecmp	4	0.047903	0.000000
ecmp	5	0.048173	0.000000
ecmp	6	0.049234	0.000000
ecmp	7	0.049655	0.000000
ecmp	8	0.047524	0.000000
ecmp	9	0.049284	0.000000
ksp	0	0.003316	0.000000
ksp	1	0.005050	0.000000
ksp	2	0.003146	0.000000
ksp	3	0.003036	0.000000
ksp	4	0.003320	0.000000
ksp	5	0.003360	0.000000
ksp	6	0.003030	0.000000
ksp	7	0.003072	0.000000
ksp	8	0.003112	0.000000
ksp	9	0.003145	0.000000
mcf	0	0.026756	0.000000
mcf	1	0.022380	0.000000
mcf	2	0.021830	0.000000
mcf	3	0.021043	0.000000
mcf	4	0.022093	0.000000
mcf	5	0.021742	0.000000
mcf	6	0.029668	0.000000
mcf	7	0.022117	0.000000
mcf	8	0.024170	0.000000
mcf	9	0.021552	0.000000
mwmcf	0	0.000976	0.000000
mwmcf	1	0.000000	0.000000
mwmcf	2	0.000001	0.000000
mwmcf	3	0.000000	0.000000
mwmcf	4	0.000000	0.000000
mwmcf	5	0.000000	0.000000
mwmcf	6	0.000000	0.000000
mwmcf	7	0.000000	0.000000
mwmcf	8	0.000000	0.000000
mwmcf	9	0.000000	0.000000
raeke	0	0.601320	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000001	0.000000
raeke	6	0.000001	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000001	0.000000
raeke	9	0.000000	0.000000
semimcfecmp	0	0.005856	0.000000
semimcfecmp	1	0.003686	0.000000
semimcfecmp	2	0.005477	0.000000
semimcfecmp	3	0.005754	0.000000
semimcfecmp	4	0.004060	0.000000
semimcfecmp	5	0.005948	0.000000
semimcfecmp	6	0.006105	0.000000
semimcfecmp	7	0.003340	0.000000
semimcfecmp	8	0.005495	0.000000
semimcfecmp	9	0.003575	0.000000
semimcfksp	0	0.004469	0.000000
semimcfksp	1	0.007482	0.000000
semimcfksp	2	0.007634	0.000000
semimcfksp	3	0.005705	0.000000
semimcfksp	4	0.007983	0.000000
semimcfksp	5	0.007415	0.000000
semimcfksp	6	0.004465	0.000000
semimcfksp	7	0.004467	0.000000
semimcfksp	8	0.004715	0.000000
semimcfksp	9	0.007515	0.000000
semimcfmcf	0	0.005109	0.000000
semimcfmcf	1	0.004690	0.000000
semimcfmcf	2	0.004632	0.000000
semimcfmcf	3	0.004703	0.000000
semimcfmcf	4	0.004660	0.000000
semimcfmcf	5	0.004628	0.000000
semimcfmcf	6	0.004882	0.000000
semimcfmcf	7	0.004805	0.000000
semimcfmcf	8	0.004917	0.000000
semimcfmcf	9	0.005611	0.000000
semimcfraeke	0	0.030614	0.000000
semimcfraeke	1	0.034206	0.000000
semimcfraeke	2	0.040101	0.000000
semimcfraeke	3	0.037671	0.000000
semimcfraeke	4	0.043708	0.000000
semimcfraeke	5	0.036051	0.000000
semimcfraeke	6	0.038989	0.000000
semimcfraeke	7	0.044562	0.000000
semimcfraeke	8	0.040174	0.000000
semimcfraeke	9	0.034326	0.000000
semimcfvlb	0	0.007978	0.000000
semimcfvlb	1	0.011572	0.000000
semimcfvlb	2	0.008089	0.000000
semimcfvlb	3	0.012475	0.000000
semimcfvlb	4	0.011286	0.000000
semimcfvlb	5	0.011085	0.000000
semimcfvlb	6	0.011974	0.000000
semimcfvlb	7	0.011614	0.000000
semimcfvlb	8	0.010199	0.000000
semimcfvlb	9	0.013030	0.000000
spf	0	0.000682	0.000000
spf	1	0.000628	0.000000
spf	2	0.000648	0.000000
spf	3	0.000757	0.000000
spf	4	0.000751	0.000000
spf	5	0.000646	0.000000
spf	6	0.000639	0.000000
spf	7	0.000685	0.000000
spf	8	0.000655	0.000000
spf	9	0.000666	0.000000
vlb	0	0.052703	0.000000
vlb	1	0.054619	0.000000
vlb	2	0.052047	0.000000
vlb	3	0.051687	0.000000
vlb	4	0.052396	0.000000
vlb	5	0.052041	0.000000
vlb	6	0.052059	0.000000
vlb	7	0.053337	0.000000
vlb	8	0.052317	0.000000
vlb	9	0.054116	0.000000

