# solver	iter	total-throughput	stddev
ecmp	0	8000000000.000000	0.000000
ecmp	1	8000000000.000000	0.000000
ecmp	2	8000000000.000000	0.000000
ecmp	3	8000000000.000000	0.000000
ecmp	4	8000000000.000000	0.000000
ecmp	5	8000000000.000000	0.000000
ecmp	6	8000000000.000000	0.000000
ecmp	7	8000000000.000000	0.000000
ecmp	8	8000000000.000000	0.000000
ecmp	9	8000000000.000000	0.000000
ksp	0	7889999999.999981	0.000000
ksp	1	7889999999.999981	0.000000
ksp	2	7889999999.999981	0.000000
ksp	3	7889999999.999981	0.000000
ksp	4	7889999999.999981	0.000000
ksp	5	7889999999.999981	0.000000
ksp	6	7889999999.999981	0.000000
ksp	7	7889999999.999981	0.000000
ksp	8	7889999999.999981	0.000000
ksp	9	7889999999.999981	0.000000
mcf	0	7820000000.000000	0.000000
mcf	1	7820000000.000000	0.000000
mcf	2	7820000000.000000	0.000000
mcf	3	7820000000.000000	0.000000
mcf	4	7820000000.000000	0.000000
mcf	5	7820000000.000000	0.000000
mcf	6	7820000000.000000	0.000000
mcf	7	7820000000.000000	0.000000
mcf	8	7820000000.000000	0.000000
mcf	9	7820000000.000000	0.000000
mwmcf	0	8000000000.000000	0.000000
mwmcf	1	8000000000.000000	0.000000
mwmcf	2	8000000000.000000	0.000000
mwmcf	3	8000000000.000000	0.000000
mwmcf	4	8000000000.000000	0.000000
mwmcf	5	8000000000.000000	0.000000
mwmcf	6	8000000000.000000	0.000000
mwmcf	7	8000000000.000000	0.000000
mwmcf	8	8000000000.000000	0.000000
mwmcf	9	8000000000.000000	0.000000
raeke	0	7851322903.413668	0.000000
raeke	1	7851322903.413668	0.000000
raeke	2	7851322903.413668	0.000000
raeke	3	7851322903.413668	0.000000
raeke	4	7851322903.413668	0.000000
raeke	5	7851322903.413668	0.000000
raeke	6	7851322903.413668	0.000000
raeke	7	7851322903.413668	0.000000
raeke	8	7851322903.413668	0.000000
raeke	9	7851322903.413668	0.000000
semimcfecmp	0	8000000000.000000	0.000000
semimcfecmp	1	8000000000.000000	0.000000
semimcfecmp	2	8000000000.000000	0.000000
semimcfecmp	3	8000000000.000000	0.000000
semimcfecmp	4	8000000000.000000	0.000000
semimcfecmp	5	8000000000.000000	0.000000
semimcfecmp	6	8000000000.000000	0.000000
semimcfecmp	7	8000000000.000000	0.000000
semimcfecmp	8	8000000000.000000	0.000000
semimcfecmp	9	8000000000.000000	0.000000
semimcfksp	0	8000000000.000000	0.000000
semimcfksp	1	8000000000.000000	0.000000
semimcfksp	2	8000000000.000000	0.000000
semimcfksp	3	8000000000.000000	0.000000
semimcfksp	4	8000000000.000000	0.000000
semimcfksp	5	8000000000.000000	0.000000
semimcfksp	6	8000000000.000000	0.000000
semimcfksp	7	8000000000.000000	0.000000
semimcfksp	8	8000000000.000000	0.000000
semimcfksp	9	8000000000.000000	0.000000
semimcfmcf	0	8000000000.000000	0.000000
semimcfmcf	1	8000000000.000000	0.000000
semimcfmcf	2	8000000000.000000	0.000000
semimcfmcf	3	8000000000.000000	0.000000
semimcfmcf	4	8000000000.000000	0.000000
semimcfmcf	5	8000000000.000000	0.000000
semimcfmcf	6	8000000000.000000	0.000000
semimcfmcf	7	8000000000.000000	0.000000
semimcfmcf	8	8000000000.000000	0.000000
semimcfmcf	9	8000000000.000000	0.000000
semimcfraeke	0	7832500000.000000	0.000000
semimcfraeke	1	7832500000.000000	0.000000
semimcfraeke	2	7832500000.000000	0.000000
semimcfraeke	3	7832500000.000000	0.000000
semimcfraeke	4	7832500000.000000	0.000000
semimcfraeke	5	7832500000.000000	0.000000
semimcfraeke	6	7832500000.000000	0.000000
semimcfraeke	7	7832500000.000000	0.000000
semimcfraeke	8	7832500000.000000	0.000000
semimcfraeke	9	7832500000.000000	0.000000
semimcfvlb	0	7840000000.000000	0.000000
semimcfvlb	1	7840000000.000000	0.000000
semimcfvlb	2	7840000000.000000	0.000000
semimcfvlb	3	7840000000.000000	0.000000
semimcfvlb	4	7840000000.000000	0.000000
semimcfvlb	5	7840000000.000000	0.000000
semimcfvlb	6	7840000000.000000	0.000000
semimcfvlb	7	7840000000.000000	0.000000
semimcfvlb	8	7840000000.000000	0.000000
semimcfvlb	9	7840000000.000000	0.000000
spf	0	8000000000.000000	0.000000
spf	1	8000000000.000000	0.000000
spf	2	8000000000.000000	0.000000
spf	3	8000000000.000000	0.000000
spf	4	8000000000.000000	0.000000
spf	5	8000000000.000000	0.000000
spf	6	8000000000.000000	0.000000
spf	7	8000000000.000000	0.000000
spf	8	8000000000.000000	0.000000
spf	9	8000000000.000000	0.000000
vlb	0	7972904347.826088	0.000000
vlb	1	7905615789.473682	0.000000
vlb	2	7918700000.000004	0.000000
vlb	3	7973791304.347828	0.000000
vlb	4	7960476811.594208	0.000000
vlb	5	7920989473.684211	0.000000
vlb	6	7947485714.285715	0.000000
vlb	7	7948495238.095238	0.000000
vlb	8	7986533333.333337	0.000000
vlb	9	7973391304.347826	0.000000

